model,dataset,seed,corruption,s1,s2,s3,s4,s5,mean
baseline_res50,cifar10,23,elastic_transform,78.82,78.86,75.06,71.83,68.64,74.642
baseline_res50,cifar10,23,pixelate,83.07,80.16,78.27,71.03,56.13,73.732
baseline_res50,cifar10,23,jpeg_compression,82.0,79.03,77.76,76.78,74.77,78.068
shape_res18,cifar100,23,gaussian_noise,52.42,41.19,33.07,28.89,25.26,36.166
shape_res18,cifar100,23,shot_noise,57.07,51.52,38.49,34.34,28.52,41.988
shape_res18,cifar100,23,impulse_noise,51.19,39.48,30.74,19.55,13.76,30.944
shape_res18,cifar100,23,defocus_blur,61.69,60.63,57.65,53.86,44.34,55.634
shape_res18,cifar100,23,glass_blur,42.9,45.18,45.13,31.35,33.41,39.594
shape_res18,cifar100,23,motion_blur,58.27,53.69,48.58,48.23,43.2,50.394
shape_res18,cifar100,23,zoom_blur,56.72,55.88,53.76,51.89,47.9,53.23
shape_res18,cifar100,23,snow,58.32,52.06,50.41,46.28,44.22,50.258
shape_res18,cifar100,23,frost,58.29,53.75,47.5,47.39,40.81,49.548
shape_res18,cifar100,23,fog,60.99,55.31,48.65,39.57,22.99,45.502
shape_res18,cifar100,23,brightness,61.73,61.1,59.77,57.52,51.67,58.358
shape_res18,cifar100,23,contrast,60.5,52.48,46.79,37.99,20.49,43.65
shape_res18,cifar100,23,elastic_transform,56.48,56.92,54.5,49.29,43.22,52.082
shape_res18,cifar100,23,pixelate,61.21,60.35,59.67,57.38,53.29,58.38
shape_res18,cifar100,23,jpeg_compression,55.41,52.04,50.9,50.08,47.44,51.174
shape_res18,cifar10,23,gaussian_noise,82.94,77.95,70.87,67.35,63.52,72.526
shape_res18,cifar10,23,shot_noise,84.53,82.6,75.64,71.99,66.4,76.232
shape_res18,cifar10,23,impulse_noise,83.0,77.49,72.74,60.97,49.67,68.774
shape_res18,cifar10,23,defocus_blur,85.94,84.33,81.75,78.5,69.05,79.914
shape_res18,cifar10,23,glass_blur,73.83,74.2,75.83,62.41,64.38,70.13
shape_res18,cifar10,23,motion_blur,83.27,78.77,72.94,72.52,67.21,74.942
shape_res18,cifar10,23,zoom_blur,81.09,79.94,77.75,75.39,71.9,77.214
shape_res18,cifar10,23,snow,83.05,78.58,77.28,73.83,73.12,77.172
shape_res18,cifar10,23,frost,83.64,80.31,75.99,75.4,70.51,77.17
shape_res18,cifar10,23,fog,85.47,81.94,76.51,68.04,47.45,71.882
shape_res18,cifar10,23,brightness,86.11,85.79,84.97,83.79,81.13,84.358
shape_res18,cifar10,23,contrast,84.9,78.96,74.18,67.41,51.68,71.426
shape_res18,cifar10,23,elastic_transform,81.12,81.38,79.21,75.12,70.62,77.49
shape_res18,cifar10,23,pixelate,85.47,84.75,83.96,82.19,78.76,83.026
shape_res18,cifar10,23,jpeg_compression,83.84,81.57,81.28,80.28,78.66,81.126
shape_res50,cifar100,23,gaussian_noise,56.09,47.66,38.87,34.97,30.93,41.704
shape_res50,cifar100,23,shot_noise,59.46,55.93,45.77,40.61,33.75,47.104
shape_res50,cifar100,23,impulse_noise,55.11,45.89,37.39,26.55,19.02,36.792
shape_res50,cifar100,23,defocus_blur,62.02,60.11,57.04,53.51,43.36,55.208
shape_res50,cifar100,23,glass_blur,46.51,47.4,47.85,35.23,35.51,42.5
shape_res50,cifar100,23,motion_blur,58.62,54.82,48.64,48.57,42.96,50.722
shape_res50,cifar100,23,zoom_blur,56.93,56.0,53.46,51.46,47.44,53.058
shape_res50,cifar100,23,snow,58.75,53.04,50.83,46.19,43.23,50.408
shape_res50,cifar100,23,frost,57.32,52.29,44.89,44.89,39.68,47.814
shape_res50,cifar100,23,fog,60.37,53.31,45.85,36.24,19.52,43.058
shape_res50,cifar100,23,brightness,62.22,61.0,58.57,56.28,49.16,57.446
shape_res50,cifar100,23,contrast,59.37,49.05,41.46,31.38,15.75,39.402
shape_res50,cifar100,23,elastic_transform,56.18,57.1,54.71,50.54,44.4,52.586
shape_res50,cifar100,23,pixelate,61.14,59.88,59.4,56.82,53.23,58.094
shape_res50,cifar100,23,jpeg_compression,57.17,54.24,53.11,51.53,50.03,53.216
shape_res50,cifar10,23,gaussian_noise,82.41,79.44,74.75,72.21,69.04,75.57
shape_res50,cifar10,23,shot_noise,83.45,82.28,78.37,75.83,71.59,78.304
shape_res50,cifar10,23,impulse_noise,81.74,78.03,74.23,65.39,56.43,71.164
shape_res50,cifar10,23,defocus_blur,84.21,82.54,80.19,77.06,65.96,77.992
shape_res50,cifar10,23,glass_blur,73.18,73.01,72.99,63.14,62.08,68.88
shape_res50,cifar10,23,motion_blur,80.95,76.11,69.77,69.75,63.82,72.08
shape_res50,cifar10,23,zoom_blur,78.99,78.2,75.9,73.45,68.9,75.088
shape_res50,cifar10,23,snow,82.12,77.8,75.82,70.67,69.42,75.166
shape_res50,cifar10,23,frost,81.16,76.94,70.99,71.01,65.27,73.074
shape_res50,cifar10,23,fog,83.01,77.67,70.63,60.53,39.27,66.222
shape_res50,cifar10,23,brightness,84.3,83.29,82.08,80.48,75.66,81.162
shape_res50,cifar10,23,contrast,81.9,72.71,67.1,60.49,47.56,65.952
shape_res50,cifar10,23,elastic_transform,79.34,79.41,77.08,72.3,67.79,75.184
shape_res50,cifar10,23,pixelate,84.45,82.9,82.52,80.82,79.1,81.958
shape_res50,cifar10,23,jpeg_compression,82.75,81.49,80.56,79.87,78.95,80.724
baseline_res18,cifar100,42,gaussian_noise,50.38,39.12,29.12,24.57,21.47,32.932
